epoch,loss,acc
epoch,loss,acc
233,70.03284,81.01504
234,67.24959,80.45113
235,68.48112,80.82707
236,70.28736,79.51128
237,69.31856,78.38346
238,70.15600,79.88722
239,69.17899,80.07519
240,69.08046,80.63910
241,70.12316,80.63910
242,69.32677,80.26316
243,69.08046,81.20301
244,70.88670,80.26316
245,69.95895,80.82707
246,69.17078,80.82707
247,69.06404,81.01504
248,69.52381,80.45113
249,69.35961,78.38346
250,69.92611,80.82707
251,68.28408,81.20301
252,67.69294,80.26316
253,69.56486,81.20301
254,70.22168,81.39098
255,69.31035,81.39098
256,70.80460,81.01504
257,69.17899,81.01504
258,69.35961,81.76692
259,69.76191,81.57895
260,70.15600,81.20301
261,68.21839,81.57895
262,70.39409,81.20301
263,70.29557,81.01504
264,70.15600,80.63910
265,69.08046,81.01504
266,70.12316,81.01504
267,71.14122,80.82707
268,68.27587,81.01504
269,69.22004,81.20301
270,69.84401,80.63910
271,69.03120,80.82707
272,69.48276,80.63910
273,70.76355,80.82707
274,68.73564,80.82707
275,70.34483,80.63910
276,70.08211,80.63910
277,70.32020,80.45113
278,69.62234,80.63910
279,68.96552,80.82707
280,69.51560,80.45113
281,69.03941,80.82707
282,69.90969,80.82707
283,68.66995,80.63910
284,69.79475,81.01504
285,68.98194,80.63910
286,69.54844,80.45113
287,69.57307,80.45113
288,69.66339,80.82707
289,67.95567,80.63910
290,69.07225,80.63910
291,71.21511,80.82707
292,70.27915,80.63910
293,69.33498,80.63910
294,69.27751,80.82707
295,71.29721,80.82707
296,69.37603,80.63910
297,69.76191,80.63910
298,68.84237,80.63910
299,69.41708,80.63910
300,69.58128,80.63910
